Model Year,Regulatory Class,Vehicle Type,Production Share,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Weight (lbs),Horsepower (HP),Footprint (sq. ft.)
"1975","All","All","1.000000","13.05970","12.01552","14.61167","4060.399","137.3346","-"
"1975","Car","All Car","0.806646","13.45483","12.31413","15.17266","4057.494","136.1964","-"
"1975","Car","Sedan/Wagon","0.805645","13.45833","12.31742","15.17643","4057.565","136.2256","-"
"1975","Truck","All Truck","0.193354","11.63431","10.91165","12.65900","4072.518","142.0826","-"
"1975","Truck","Pickup","0.131322","11.91476","11.07827","13.12613","4011.977","140.9365","-"
"1975","Truck","Minivan/Van","0.044700","11.10606","10.55642","11.86084","4195.690","143.2245","-"
"1975","Truck","Truck SUV","0.017331","11.02071","10.62298","11.54921","4213.574","147.8221","-"
"1975","Car","Car SUV","0.001001","11.12929","10.13552","12.64456","4000.000","112.7733","-"
"1976","All","All","1.000000","14.22136","13.18117","15.73946","4079.198","135.0839","-"
"1976","Car","All Car","0.789164","14.86139","13.69643","16.58558","4058.859","133.5588","-"
"1976","Car","Sedan/Wagon","0.788239","14.86845","13.70380","16.59191","4058.944","133.5710","-"
"1976","Truck","All Truck","0.210836","12.24713","11.55419","13.21586","4155.327","140.7925","-"
"1976","Truck","Pickup","0.151303","12.44161","11.74027","13.42155","4121.843","139.4000","-"
"1976","Truck","Minivan/Van","0.040716","11.78392","11.05859","12.81092","4199.864","145.6272","-"
"1976","Truck","Truck SUV","0.018816","11.76894","11.21251","12.52886","4328.199","141.5282","-"
"1976","Car","Car SUV","0.000925","10.58091","9.39272","12.51605","3986.237","123.1064","-"
"1977","All","All","1.000000","15.06743","14.00580","16.60587","3981.818","135.9847","-"
"1977","Car","All Car","0.801419","15.58566","14.38805","17.35080","3943.613","133.1736","-"
"1977","Car","Sedan/Wagon","0.800086","15.59297","14.39484","17.35887","3943.519","133.1881","-"
"1977","Truck","All Truck","0.198581","13.28478","12.64952","14.15353","4136.002","147.3296","-"
"1977","Truck","Pickup","0.143450","13.55757","12.89811","14.46125","4091.847","146.3648","-"
"1977","Truck","Minivan/Van","0.036422","12.51297","11.94984","13.27770","4252.284","152.3661","-"
"1977","Truck","Truck SUV","0.018710","12.84559","12.23607","13.67836","4248.173","144.9224","-"
"1977","Car","Car SUV","0.001333","12.16264","11.21446","13.56437","4000.000","124.4603","-"
"1978","All","All","1.000000","15.83777","14.68193","17.52390","3715.238","129.0248","-"
