MODEL_YEAR,CAFE_MFR_NM,CAFE_MFR_CD,COMPLIANCE_CATEGORY_CD,COMPLIANCE_CATEGORY_DESC,LDFE_CAFE_ID,APPROVED_YN,SIGNED_YN,FINAL_STATUS_IND_YN,FOOTPRINT_MFR_NM,FOOTPRINT_MFR_CD,FOOTPRINT_DIVISION_NM,FTPT_DIVISION_CD,FOOTPRINT_CARLINE_NM,FTPT_CARLINE_CD,FP_MODEL_YR,FOOTPRINT_INDEX,FOOTPRINT_DESC,WHEEL_BASE_INCHES,FRONT_TRACK_WIDTH_INCHES,REAR_TRACK_WIDTH_INCHES,MFR_CALC_ROUNDED_AREA,EPA_CALC_ROUNDED_AREA,DISCREPANCY_MFR_EPA_CALC_FP,MFR_TARGET_FE_VALUE,EPA_TARGET_FE_VALUE,FP_TARGET_FE_DISCREP_VALUE,MFR_TARGET_GHG_RND_GPM_1,EPA_TARGET_GHG_RND_GPM_1,TARGET_GHG_DISCREPANCY_VAL,FINAL_MY_GHG_PROD_UNIT,FINAL_MY_GHG_TLAAS_PROD_UNIT,FINAL_MY_CAFE_PROD_UNIT
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Acura,2,MDX AWD,1,2024,1,MDX AWD 20in,113.8,67.7,67.7,53.5,53.5,0,35.55,35.55,0,219.1,219.1,0,36307,,36307
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Acura,2,MDX AWD Type-S,4,2024,1,MDX AWD TYPE S 21in,113.8,67.7,67.7,53.5,53.5,0,35.55,35.55,0,219.1,219.1,0,4706,,4706
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Acura,2,MDX FWD,2,2024,1,MDX FWD 19in,113.8,67.7,67.7,53.5,53.5,0,35.55,35.55,0,219.1,219.1,0,2268,,2268
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Acura,2,MDX FWD,2,2024,2,MDX FWD 20in,113.8,67.7,67.7,53.5,53.5,0,35.55,35.55,0,219.1,219.1,0,6110,,6110
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Acura,2,RDX AWD,101,2024,1,RDX AWD 19in,108.3,64.2,64.7,48.4,48.4,0,38.72,38.72,0,199.9,199.9,0,30014,,30014
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Acura,2,RDX AWD A-SPEC,103,2024,1,RDX AWD A-SPEC 20in,108.3,64.2,64.7,48.4,48.4,0,38.72,38.72,0,199.9,199.9,0,11125,,11125
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Acura,2,ZDX AWD,901,2024,1,2024MY Acura ZDX AWD,121.8,66.1,66.3,56.0,56.0,0,34.17,34.17,0,228.5,228.5,0,6885,,6885
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Acura,2,ZDX AWD Type S,903,2024,1,2024 Acura ZDX AWD Type-S,121.8,66.1,66.2,56.0,56.0,0,34.17,34.17,0,228.5,228.5,0,2889,,2889
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Acura,2,ZDX RWD,902,2024,1,2024MY Acura ZDX RWD,121.8,66.1,66.3,56.2,56.0,0.2,34.17,34.17,0,228.5,228.5,0,4033,,4033
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Honda,1,CR-V AWD,101,2024,1,CR-V AWD 17in,106.3,63.3,63.9,46.9,46.9,0,39.76,39.76,0,194.2,194.2,0,55694,,55694
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Honda,1,CR-V AWD,101,2024,2,CR-V AWD 18in,106.3,63.3,63.9,46.9,46.9,0,39.76,39.76,0,194.2,194.2,0,70081,,70081
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Honda,1,CR-V AWD,101,2024,3,CR-V AWD Hybrid 18in,106.3,63.3,63.9,46.9,46.9,0,39.76,39.76,0,194.2,194.2,0,136054,,136054
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Honda,1,ODYSSEY FWD,201,2024,1,ODYSSEY FWD 18in,118.1,67.3,67.2,55.1,55.1,0,34.66,34.66,0,225.1,225.1,0,45286,,45286
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Honda,1,ODYSSEY FWD,201,2024,2,ODYSSEY FWD 19in,118.1,67.3,67.2,55.1,55.1,0,34.66,34.66,0,225.1,225.1,0,30905,,30905
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Honda,1,PASSPORT AWD,310,2024,1,PASSPORT AWD 20in,110.9,66.7,66.7,51.4,51.4,0,36.79,36.79,0,211.2,211.2,0,16230,,16230
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Honda,1,PASSPORT AWD,310,2024,2,PASSPORT AWD 18in,110.9,67.1,67.1,51.7,51.7,0,36.61,36.61,0,212.3,212.3,0,7735,,7735
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Honda,1,PILOT AWD,301,2024,1,PILOT AWD 18in,113.8,67.5,67.8,53.4,53.4,0,35.60,35.60,0,218.7,218.7,0,10182,,10182
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Honda,1,PILOT AWD,301,2024,2,PILOT AWD 20in,113.8,67.5,67.8,53.4,53.4,0,35.60,35.60,0,218.7,218.7,0,869,,869
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Honda,1,PILOT FWD,302,2024,1,PILOT FWD 18in,113.8,67.5,67.8,53.4,53.4,0,35.60,35.60,0,218.7,218.7,0,10622,,10622
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Honda,1,PILOT FWD,302,2024,2,PILOT FWD 20in,113.8,67.5,67.8,53.4,53.4,0,35.60,35.60,0,218.7,218.7,0,6496,,6496
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Honda,1,Pilot AWD TRAILSPORT,305,2024,1,PILOT AWD TRAILSPORT 18in,113.8,67.2,67.4,53.2,53.2,0,35.72,35.72,0,218.0,218.0,0,9640,,9640
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,4927,N,N,Y,"American Honda Motor Co., Inc.",HNX,Honda,1,Pilot AWD Touring/Elite/Black,304,2024,1,PILOT AWD Touring 20in,113.8,67.5,67.8,53.4,53.4,0,35.60,35.60,0,218.7,218.7,0,29366,,29366
