MODEL_YEAR,CAFE Mfr Name,CAFE Mfr Code,Compliance Category,Compliance Category Desc,Carline Mfr Code,Carline Mfr Name,DIVISION_CD,MFR_DIVISION_SHORT_NM,CARLINE_CODE,CARLINE_NAME,MODEL_TYPE_INDEX,CARLINE_CLASS,CARLINE_CLASS_DESC,AVG_PASSENGER_VOL,AVG_LUGGAGE_VOL,TWO_DOOR_PASSENGER_VOL,TWO_DOOR_LUGGAGE_VOL,FOUR_DOOR_PASSENGER_VOL,FOUR_DOOR_LUGGAGE_VOL,HATCHBACK_PASSENGER_VOL,HATCHBACK_LUGGAGE_VOL,TRANS_TYPE,TRANS_TYPE_DESC,TRANS_TYPE_IF_OTHER,DRIVE_SYSTEM,DRIVE_SYSTEM_DESC,TRANS_LOCKUP_YN,TRANS_CREEPER_GEAR_YN,TOTAL_NUM_TRANS_GEARS,Basic Engine Testgroup,EMSys (Stop/Start Sys) Cd,EMSys (Stop/Start Sys) Desc,MODEL_TYPE_DESC,FE_LABEL_CALC_APPROACH,FE_LABEL_CALC_APPROACH_DESC,HYBRID_5C_LABEL_CALC_APPR,HYBRID_5C_LABEL_CALC_APPR_DSC,CHARGE_DEPLETING_FE_CALC_APPR,CHARGE_DEPL_FE_CALC_APPR_DESC,CHARGE_SUSTAIN_FE_CALC_APPR,CHARGE_SUST_FE_CALC_APPR_DESC,FUEL_USAGE,FUEL_USAGE_DESC,FE_UNIT,VOLUNT_LOWER_CITY_FE,VOLUNT_LOWER_HWY_FE,VOLUNT_LOWER_COMB_FE,RND_5C_ADJ_MT_CITY_FE,RND_5C_ADJ_MT_HWY_FE,RND_5C_ADJ_MT_COMB_FE,MFR_CITY_FE_LABEL,MFR_HWY_FE_LABEL,MFR_COMB_FE_LABEL,UNRD_UNADJ_MT_CITY_FE,UNRD_UNADJ_MT_HWY_FE,UNRD_UNADJ_MT_COMB_FE,UNRD_5C_ADJ_MT_CITY_FE,UNRD_5C_ADJ_MT_HWY_FE,UNRD_5C_ADJ_MT_COMB_FE,CAFE Domestic/Import Cd,GHG_TLAAS_IND_YN,EPA_MT_CALC_COMPLETE_YN,EPA CAFE MT Baseline Fuel Y/N,EPA CAFE MT Calc - City GHG 1,EPA CAFE MT Calc - Hwy GHG 1,EPA CAFE MT Calc - Comb GHG 1,EPA CAFE MT Calc - Comb GHG,EPA CAFE MT Calc - City FE 4,EPA CAFE MT Calc - Hwy FE 4,EPA CAFE MT Calc - Comb FE 4,EPA CAFE MT Calc - Comb FE 1,AMFA_CITY_FE_4,AMFA_HWY_FE_4,AMFA_COMB_FE_4,AMFA_CITY_GHG_1,AMFA_HWY_GHG_1,AMFA_COMB_GHG_1,CAFE Base Level Inertia Weight,BASE_LEVEL_INDEX,BASE_LEVEL_CITY_GHG_1,BASE_LEVEL_HWY_GHG_1,BASE_LEVEL_COMB_GHG_1,BASE_LEVEL_CITY_FE_4,BASE_LEVEL_HWY_FE_4,BASE_LEVEL_COMB_FE_4,EPA CAFE BL Baseline Fuel Y/N,BASIC_FUEL_METER1,BASIC_FUEL_METER1_DESC,BASIC_FUEL_METER2,BASIC_FUEL_METER2_DESC,BASIC_FUEL_METERING_REL8,BASIC_FUEL_METERING_DESC_REL8,DRIVE_SOURCE,DRIVE_SOURCE_DESC,HYBRID_YN,LEAN_BURN_STRATEGY_YN,FUEL_CELL_YN,RECHARGE_ENERGY_STORAGE_SYS_YN,OFF_BOARD_CHARGE_CAPABLE_YN,NUM_CYLINDRS_ROTORS,ENG_TYPE,ENG_TYPE_DESC,Engine Type Desc,ENG_CONFIG_NUM,ENG_DISPL,DISPL_UNIT,ENG_RATED_HP,NUM_INLET_VALVE_PER_CYLNDR,NUM_EXH_VALVE_PER_CYLNDR,Total Valves Per Cylinder,AIR_ASPIRATION_METH,AIR_ASPIRATION_METH_DESC,CYLNDR_DEACTIVATION_YN,Cyl Deact Desc,Var Valve Timing?,Var Valve Timing Desc,Var Valve Lift?,Var Valve Lift Desc,EGR_YN,COOLED_EGR_YN,EGR_TYPE,EGR_TYPE_DESC,EGR_TYPE_IF_OTHER,CAMLESS_VALVETRAIN_YN,Energy Storage Device,Energy Storage Device Desc,Energy Storage Device;If Other,# Batteries,Battery Type,Battery Type Desc,Battery Type; If Other,Ttl Volt Batt Pk,Batt Energy Capacity,Batt Specific Energy,Batt Charger Type,Batt Charger Type Desc,Comments,# Capacitors,Regen Braking Type,Regen Braking Type Desc,Regen Braking Type; If Other,Regen Braking Source,Regen Braking Source Desc,Driver Cntrl Regen Braking?,Fuel Cell Desc,Usable H2 Fill Capacity,Fuel Cell Onboard H2 Capacity,HEV-EV Comments,EXH_STD_LVL,EXH_STD_LVL_DESC,EPA_VEH_CLS,EPA_VEH_CLS_DESC,CARLINE_BASE_LEVEL_PROD_VOL,CARLINE_BASE_LVL_GHG_PROD_VOL,BASE_LEVEL_PROD_VOL,SBCNFG_CARLINE_TESTGROUP,SBCNFG_TESTGROUP_PROD_VOL,Model_Type_Actual_Prod_Vol,CALC_GHG_PROD_VOLUME,CALC_CAFE_TEST_VOLUME,MODEL_TYPE_DRIVING_RANGE,Mech Variable Compress Ratio,PHEV_COMPOSITE_COMB_MPGE
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,HNX,"American Honda Motor Co., Inc.",2,Acura,1,MDX AWD,501,31,Small SUV 4WD,,,,,,,,,SA,Semi-Automatic,,A,All Wheel Drive,Y,N,10,RHNXT03.5CCC,Y,Yes,,5C-DRV,Derived 5-cycle label,,,,,,,GP,Gasoline (Premium Unleaded Recommended),MPG,,25,,19,26,21,19,25,21,23.4000,36.0000,27.7745,18.6331,25.5432,21.2158,D,,Y,Y,380.0,248.0,320.6,321,23.4000,36.0000,27.7745,27.8,23.4000,36.0000,27.7745,380.0,248.0,320.6,4500,1,380.0,248.0,320.6,23.4000,36.0000,27.7745,Y,,,,,GDI,Spark Ignition Direct fuel injection,C,Combustion Engine,N,N,N,N,N,6,4SI,4-Stroke Spark Ignition,,1,3.500,L,290,2,2,4,NA,Naturally Aspirated,Y,Variable Cylinder Management (VCM) is applied.,Y,Variable valve Timing and lift Electronic Control (VTEC) system is applied.,Y,Variable valve Timing and lift Electronic Control (VTEC) system is applied.,Y,N,EEGR,Electronic/Electric,,N,,,,,,,,,,,,,,,,,,,,,,,,,T3B70,Federal Tier 3 Bin 70,LDT2,"LDT2 (LVW 3751-5750, GVW 0-6000)",36307,36307,36307,RHNXT03.5CCC,36307,36307,36307,36307,,N,
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,HNX,"American Honda Motor Co., Inc.",2,Acura,4,MDX AWD Type-S,506,33,Standard SUV 4WD,,,,,,,,,SA,Semi-Automatic,,A,All Wheel Drive,Y,N,10,RHNXT03.0HTC,Y,Yes,,5C-MOD,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,,,,,,,GP,Gasoline (Premium Unleaded Recommended),MPG,17,,,18,21,19,17,21,19,22.7000,32.1000,26.1453,18.1170,21.4883,19.4932,D,,Y,Y,392.0,277.0,340.2,340,22.7000,32.1000,26.1453,26.1,22.7000,32.1000,26.1453,392.0,277.0,340.2,5000,1,392.0,277.0,340.2,22.7000,32.1000,26.1453,Y,,,,,GDI,Spark Ignition Direct fuel injection,C,Combustion Engine,N,N,N,N,N,6,4SI,4-Stroke Spark Ignition,,1,3.000,L,355,2,2,4,TC,Turbocharged,Y,Variable Cylinder Management (VCM) is applied.,Y,Variable valve Timing control(VTC) system is applied.,N,,N,N,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,T3B70,Federal Tier 3 Bin 70,LDT3,"LDT3 (ALVW 3751-5750, LVW 0-3750, GVW > 6000)",4706,4706,4706,RHNXT03.0HTC,4706,4706,4706,4706,,N,
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,HNX,"American Honda Motor Co., Inc.",2,Acura,2,MDX FWD,502,30,Small SUV 2WD,,,,,,,,,SA,Semi-Automatic,,F,"2-Wheel Drive, Front",Y,N,10,RHNXT03.5CCC,Y,Yes,,5C-DRV,Derived 5-cycle label,,,,,,,GP,Gasoline (Premium Unleaded Recommended),MPG,19,,,20,26,22,19,26,22,25.0000,37.2000,29.3283,19.8039,26.3231,22.2878,D,,Y,Y,357.0,240.0,304.4,304,25.0000,37.2000,29.3283,29.3,25.0000,37.2000,29.3283,357.0,240.0,304.4,4500,1,357.0,240.0,304.4,25.0000,37.2000,29.3283,Y,,,,,GDI,Spark Ignition Direct fuel injection,C,Combustion Engine,N,N,N,N,N,6,4SI,4-Stroke Spark Ignition,,1,3.500,L,290,2,2,4,NA,Naturally Aspirated,Y,Variable Cylinder Management (VCM) is applied.,Y,Variable valve Timing and lift Electronic Control (VTEC) system is applied.,Y,Variable valve Timing and lift Electronic Control (VTEC) system is applied.,Y,N,EEGR,Electronic/Electric,,N,,,,,,,,,,,,,,,,,,,,,,,,,T3B70,Federal Tier 3 Bin 70,LDT2,"LDT2 (LVW 3751-5750, GVW 0-6000)",8378,8378,8378,RHNXT03.5CCC,8378,8378,8378,8378,,N,
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,HNX,"American Honda Motor Co., Inc.",2,Acura,101,RDX AWD,481,31,Small SUV 4WD,,,,,,,,,SA,Semi-Automatic,,A,All Wheel Drive,Y,N,10,RHNXT02.0VVC,Y,Yes,,5C-DRV,Derived 5-cycle label,,,,,,,GP,Gasoline (Premium Unleaded Recommended),MPG,,,23,21,27,24,21,27,23,27.2000,39.0000,31.4871,21.3942,27.4851,23.7640,D,,Y,Y,327.0,228.0,282.4,282,27.2000,39.0000,31.4871,31.5,27.2000,39.0000,31.4871,327.0,228.0,282.4,4000,1,327.0,228.0,282.4,27.2000,39.0000,31.4871,Y,,,,,GDI,Spark Ignition Direct fuel injection,C,Combustion Engine,N,N,N,N,N,4,4SI,4-Stroke Spark Ignition,,1,2.000,L,272,2,2,4,TC,Turbocharged,N,,Y,Variable valve Timing (VTC) and lift Electronic Control (VTEC) system is applied.,Y,Variable valve Timing (VTC) and lift Electronic Control (VTEC) system is applied.,N,N,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,T3B50,Federal Tier 3 Bin 50,LDT2,"LDT2 (LVW 3751-5750, GVW 0-6000)",30014,30014,30014,RHNXT02.0VVC,30014,30014,30014,30014,,N,
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,HNX,"American Honda Motor Co., Inc.",2,Acura,103,RDX AWD A-SPEC,483,31,Small SUV 4WD,,,,,,,,,SA,Semi-Automatic,,A,All Wheel Drive,Y,N,10,RHNXT02.0WVC,Y,Yes,,5C-MOD,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,,,,,,,GP,Gasoline (Premium Unleaded Recommended),MPG,,,,21,26,23,21,26,23,26.6000,38.5000,30.8976,20.9627,25.9065,22.9320,D,,Y,Y,335.8,231.9,289.0,289,26.4629,38.4089,30.7694,30.8,26.4629,38.4089,30.7694,335.8,231.9,289.0,4000,1,335.8,231.9,289.0,26.4629,38.4089,30.7694,Y,,,,,GDI,Spark Ignition Direct fuel injection,C,Combustion Engine,N,N,N,N,N,4,4SI,4-Stroke Spark Ignition,,1,2.000,L,272,2,2,4,TC,Turbocharged,N,,Y,Variable valve Timing (VTC) and lift Electronic Control (VTEC) system is applied.,Y,Variable valve Timing (VTC) and lift Electronic Control (VTEC) system is applied.,N,N,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,T3B50,Federal Tier 3 Bin 50,LDT2,"LDT2 (LVW 3751-5750, GVW 0-6000)",11125,11125,11125,RHNXT02.0WVC,11125,11125,11125,11125,,N,
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,HNX,"American Honda Motor Co., Inc.",2,Acura,901,ZDX AWD,722,32,Standard SUV 2WD,102.800,30.200,,,,,,,A,Automatic,A1,A,All Wheel Drive,N,N,1,RGMXT00.0024,N,No,ZDX AWD,EV,Electric Vehicle 2-cycle label,,,,,,,EL,Electricity,KW-HR/100Miles,,,,36,42,39,36,42,39,25.1321,29.3612,27.0352,35.9060,41.9425,38.6225,D,,Y,Y,0,0,0,0,48.7000,41.7000,302.0000,45.3,48.7000,41.7000,302.0000,0,0,0,6000,1,0,0,0,48.7000,41.7000,45.2796,Y,,,,,,,E,Electric Motor,N,N,N,Y,Y,,,,,,,L,,,,0,,,,,,,,,,,,,,,B,Battery(s),,1,LI,Lithium Ion,,400,297.9,162.0,B,Both,,,ERE,Electrical Regen Brake,,B,Both,N,,,,,T3B0,Federal Tier 3 Bin 0,LDT4,"LDT4 (ALVW > 5750, LVW 0-3750, GVW > 6000)",6885,6885,6885,RGMXT00.0024,6885,6885,6885,6885,304,,
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,HNX,"American Honda Motor Co., Inc.",2,Acura,901,ZDX AWD,722,32,Standard SUV 2WD,102.800,30.200,,,,,,,A,Automatic,A1,A,All Wheel Drive,N,N,1,RGMXT00.0024,N,No,ZDX AWD,EV,Electric Vehicle 2-cycle label,,,,,,,EL,Electricity,MPG,,,,94,80,87,94,80,87,134.1000,114.8000,124.6684,93.8700,80.3600,87.2696,D,,Y,Y,0,0,0,0,48.7000,41.7000,302.0000,45.3,48.7000,41.7000,302.0000,0,0,0,6000,1,0,0,0,48.7000,41.7000,45.2796,Y,,,,,,,E,Electric Motor,N,N,N,Y,Y,,,,,,,L,,,,0,,,,,,,,,,,,,,,B,Battery(s),,1,LI,Lithium Ion,,400,297.9,162.0,B,Both,,,ERE,Electrical Regen Brake,,B,Both,N,,,,,T3B0,Federal Tier 3 Bin 0,LDT4,"LDT4 (ALVW > 5750, LVW 0-3750, GVW > 6000)",6885,6885,6885,RGMXT00.0024,6885,6885,6885,6885,304,,
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,HNX,"American Honda Motor Co., Inc.",2,Acura,903,ZDX AWD Type S,723,32,Standard SUV 2WD,102.800,30.200,,,,,,,A,Automatic,A1,A,All Wheel Drive,N,N,1,RGMXT00.0024,N,No,ZDX AWD Type-S,EV,Electric Vehicle 2-cycle label,,,,,,,EL,Electricity,KW-HR/100Miles,,,,41,46,43,41,46,43,28.5337,32.0370,30.1102,40.7705,45.7700,43.0203,D,,Y,Y,0,0,0,0,43.1000,38.4000,272.6667,40.9,43.1000,38.4000,272.6667,0,0,0,6500,1,0,0,0,43.1000,38.4000,40.8501,Y,,,,,,,E,Electric Motor,N,N,N,Y,Y,,,,,,,L,,,,0,,,,,,,,,,,,,,,B,Battery(s),,1,LI,Lithium Ion,,400,297.9,162.0,B,Both,,,ERE,Electrical Regen Brake,,B,Both,N,,,,,T3B0,Federal Tier 3 Bin 0,LDT4,"LDT4 (ALVW > 5750, LVW 0-3750, GVW > 6000)",2889,2889,2889,RGMXT00.0024,2889,2889,2889,2889,278,,
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,HNX,"American Honda Motor Co., Inc.",2,Acura,903,ZDX AWD Type S,723,32,Standard SUV 2WD,102.800,30.200,,,,,,,A,Automatic,A1,A,All Wheel Drive,N,N,1,RGMXT00.0024,N,No,ZDX AWD Type-S,EV,Electric Vehicle 2-cycle label,,,,,,,EL,Electricity,MPG,,,,83,74,78,83,74,78,118.1000,105.2000,111.9240,82.6700,73.6400,78.3468,D,,Y,Y,0,0,0,0,43.1000,38.4000,272.6667,40.9,43.1000,38.4000,272.6667,0,0,0,6500,1,0,0,0,43.1000,38.4000,40.8501,Y,,,,,,,E,Electric Motor,N,N,N,Y,Y,,,,,,,L,,,,0,,,,,,,,,,,,,,,B,Battery(s),,1,LI,Lithium Ion,,400,297.9,162.0,B,Both,,,ERE,Electrical Regen Brake,,B,Both,N,,,,,T3B0,Federal Tier 3 Bin 0,LDT4,"LDT4 (ALVW > 5750, LVW 0-3750, GVW > 6000)",2889,2889,2889,RGMXT00.0024,2889,2889,2889,2889,278,,
2024,"American Honda Motor Co., Inc.",HNX,LT,Light Trucks,HNX,"American Honda Motor Co., Inc.",2,Acura,902,ZDX RWD,721,32,Standard SUV 2WD,102.800,30.200,,,,,,,A,Automatic,A1,R,"2-Wheel Drive, Rear",N,N,1,RGMXT00.0026,N,No,ZDX RWD,EV,Electric Vehicle 2-cycle label,,,,,,,EL,Electricity,KW-HR/100Miles,,,,35,40,37,35,40,37,24.5114,28.2834,26.2088,35.0182,40.3943,37.4374,D,,Y,Y,0,0,0,0,50.2000,43.5000,312.6667,46.9,50.2000,43.5000,312.6667,0,0,0,6000,1,0,0,0,50.2000,43.5000,46.9461,Y,,,,,,,E,Electric Motor,N,N,N,Y,Y,,,,,,,L,,,,0,,,,,,,,,,,,,,,B,Battery(s),,1,LI,Lithium Ion,,400,298.0,157.0,B,Both,,,ERE,Electrical Regen Brake,,R,Rear Wheels,N,,,,,T3B0,Federal Tier 3 Bin 0,LDT4,"LDT4 (ALVW > 5750, LVW 0-3750, GVW > 6000)",4033,4033,4033,RGMXT00.0026,4033,4033,4033,4033,313,,
