year,class,mpg_norm,mpg_norm_projected
1975,Sedan/Wagon,11.375,
1976,Sedan/Wagon,12.449,
1977,Sedan/Wagon,12.924,
1978,Sedan/Wagon,13.194,
1979,Sedan/Wagon,13.062,
1980,Sedan/Wagon,13.455,
1981,Sedan/Wagon,14.241,
1982,Sedan/Wagon,14.74,
1983,Sedan/Wagon,15.107,
1984,Sedan/Wagon,15.464,
1985,Sedan/Wagon,16.208,
1986,Sedan/Wagon,16.628,
1987,Sedan/Wagon,16.784,
1988,Sedan/Wagon,17.303,
1989,Sedan/Wagon,17.436,
1990,Sedan/Wagon,17.798,
1991,Sedan/Wagon,18.078,
1992,Sedan/Wagon,18.484,
1993,Sedan/Wagon,18.594,
1994,Sedan/Wagon,18.811,
1995,Sedan/Wagon,19.58,
1996,Sedan/Wagon,19.627,
1997,Sedan/Wagon,19.761,
1998,Sedan/Wagon,20.002,
1999,Sedan/Wagon,20.088,
2000,Sedan/Wagon,20.249,
2001,Sedan/Wagon,20.412,
2002,Sedan/Wagon,20.731,
2003,Sedan/Wagon,21.138,
2004,Sedan/Wagon,21.464,
2005,Sedan/Wagon,21.771,
2006,Sedan/Wagon,22.397,
2007,Sedan/Wagon,22.856,
2008,Sedan/Wagon,23.249,
2009,Sedan/Wagon,23.59,
2010,Sedan/Wagon,24.561,
2011,Sedan/Wagon,25.155,
2012,Sedan/Wagon,25.999,
2013,Sedan/Wagon,27.095,
2014,Sedan/Wagon,27.406,
2015,Sedan/Wagon,27.934,
2016,Sedan/Wagon,28.155,
2017,Sedan/Wagon,28.88,
2018,Sedan/Wagon,30.518,
2019,Sedan/Wagon,30.41,
2020,Sedan/Wagon,31.326,
2021,Sedan/Wagon,32.658,
2022,Sedan/Wagon,34.343,
2023,Sedan/Wagon,36.066,
2024,Sedan/Wagon,33.487,
2025,Sedan/Wagon,,34.306
2026,Sedan/Wagon,,35.001
2027,Sedan/Wagon,,35.711
2028,Sedan/Wagon,,36.434
2029,Sedan/Wagon,,37.173
2030,Sedan/Wagon,,37.926
2031,Sedan/Wagon,,38.694
2032,Sedan/Wagon,,39.479
2033,Sedan/Wagon,,40.279
