year,fatalities,bts_vmt_million_miles,fatality_rate_per_100m_vmt,auto_sales_millions_saar,lt_sales_millions_saar,lt_share_of_sales
1960,36399.0,718763.0,5.064117101186343,,,
1965,47089.0,887811.0,5.303944195329861,,,
1967,,,,8.346916666666665,,
1968,,,,9.654416666666668,,
1969,,,,9.581750000000001,,
1970,52627.0,1109724.0,4.742350350177161,8.4025,,
1971,,,,10.227916666666667,,
1972,,,,10.873249999999999,,
1973,,,,11.350249999999999,,
1974,,,,8.773833333333332,,
1975,44525.0,1327664.0,3.35,8.538,,
1976,,,,9.994333333333334,2.97175,0.2291941154165033
1977,,,,11.045916666666667,3.4398333333333335,0.23746325411755234
1978,,,,11.163916666666669,3.808916666666667,0.25438850362322873
1979,,,,10.558833333333332,3.2091666666666665,0.23308880495835754
1980,51091.0,1527295.0,3.3451952635214544,8.981833333333334,2.210583333333333,0.197507240765697
1981,,,,8.534416666666665,2.029583333333333,0.19212261769531744
1982,,,,7.9795,2.3838333333333335,0.2300257317465423
1983,,,,9.17875,2.9410000000000003,0.24266177107613604
1984,,,,10.390166666666667,3.807083333333333,0.2681563917894897
1985,43825.0,1774826.0,2.4692561411653875,10.978166666666667,4.464416666666667,0.289097786963537
1986,,,,11.405666666666667,4.644833333333333,0.289388700248175
1987,,,,10.170666666666666,4.689916666666666,0.31559438559500247
1988,,,,10.5455,4.890833333333333,0.31683905936211104
1989,,,,9.776833333333332,4.752083333333333,0.3270776095946589
1990,44599.0,2144362.0,2.0798260741423324,9.300166666666666,4.562833333333334,0.32913751232297006
1991,41508.0,2172050.0,1.9110057319122489,8.174999999999999,4.139166666666667,0.33613047303241533
1992,39250.0,2247151.0,1.7466560992118465,8.21425,4.645583333333334,0.36124755375264067
1993,40150.0,2296378.0,1.7484055325386327,8.517833333333334,5.3557500000000005,0.3860394154358103
1994,40716.0,2357588.0,1.7270193095655388,8.990416666666667,6.053749999999999,0.40239849332520905
1995,41817.0,2422823.0,1.7259618222214335,8.620166666666666,6.107916666666666,0.41471225606409523
1996,42065.0,2484080.0,1.6933834659109208,8.478666666666667,6.618666666666666,0.4383997173893844
1997,42013.0,2552233.0,1.6461271365114392,8.21825,6.904166666666667,0.4565518077467777
1998,41501.0,2628148.0,1.5790967631959845,8.085083333333333,7.457916666666666,0.4798247871496279
1999,41717.0,2690241.0,1.550678916870273,8.637916666666667,8.25575,0.4886890550699473
2000,41945.0,2746925.0,1.52698016873413,8.777666666666667,8.571916666666667,0.4940704627872907
2001,42196.0,2795610.0,1.5093664710027508,8.351916666666666,8.77025,0.512216133082846
2002,43005.0,2855508.0,1.5060367542307707,8.042416666666666,8.774083333333333,0.5217544276950218
2003,42884.0,2890221.0,1.4837619683754288,7.555499999999999,9.083499999999999,0.5459162209267383
2004,42836.0,2964788.0,1.4448250600042902,7.482416666666667,9.384500000000001,0.5563850338186687
2005,43510.0,2989430.0,1.455461409031153,7.660583333333333,9.287666666666667,0.5480015144139758
2006,42708.0,3014371.0,1.4168129934901843,7.761416666666666,8.742916666666666,0.5297346151515764
2007,41259.0,3031124.0,1.3611782295940382,7.562250000000001,8.52675,0.529973895207906
2008,37423.0,2976528.0,1.2572702154994007,6.76925,6.42575,0.4869837059492232
2009,33883.0,2956763.51799887,1.1459489334788575,5.401583333333333,5.00075,0.48073348928125104
2010,32999.0,2967265.966571719,1.1121011857971719,5.635666666666666,5.919083333333333,0.5122640761014591
2011,32479.0,2946131.2727338807,1.1024288123407655,6.09325,6.650083333333333,0.5218480251111692
2012,33782.0,2968814.900789249,1.1378951241122905,7.245916666666666,7.188916666666666,0.4980256093477583
2013,32893.0,2988280.190184303,1.1007334622785594,7.586333333333333,7.94375,0.5115072359560208
2014,32744.0,3025655.7268996313,1.0822116908043782,7.708083333333334,8.74425,0.5314899608971372
2015,35484.0,3095372.7010209654,1.1463563010779316,7.5285,9.879249999999999,0.5675202136979218
2016,37806.0,3174407.9579340047,1.1909622361394665,6.883333333333334,10.594,0.6061565456209947
2017,37473.0,3212347.311338829,1.166530152817821,6.089333333333333,11.060916666666667,0.6449420076480907
2018,36835.0,3240326.5426354,1.1367681471399365,5.310250000000001,11.91475,0.6917126269956458
2019,36355.0,3261771.662841316,1.1145783260723807,4.7195833333333335,12.241416666666666,0.7217390877110234
2020,39007.0,2903621.5263800006,1.343391335462055,3.40175,11.07,0.7649385872475686
2021,43230.0,3132411.4989900007,1.3800868760039626,3.350083333333333,11.596916666666667,0.7758691822216276
2022,42721.0,3196191.0,1.3366222481697745,2.8585000000000003,10.895583333333335,0.7921708098807021
2023,,,,3.1166666666666667,12.385833333333332,0.7989571574477234
2024,39254.0,3246817.0,1.2089994600866019,2.97725,12.8735,0.8121697711464757
2025,,,,2.72525,13.504000000000001,0.8320778840673476
2026,,,,2.6285714285714286,13.355142857142859,0.8355468959476611
