year,autoloan_48mo_rate_pct,electricity_usd_kwh,fleet_avg_age_years,ev_kwh_per_100mi,gas_nominal_usd_gal,real_world_mpg,household_avg_size,gas_cost_per_mile,ev_cost_per_mile,gas_over_ev_cost_ratio
1972,10.05,,,,,,,,,
1973,10.21,,,,,,,,,
1974,10.97,,,,,,,,,
1975,11.3625,,,,,13.0597,2.94,,,
1976,11.07,,,,0.6143333333333333,14.22136,,0.04319793137458958,,
1977,10.9175,,,,0.6563333333333333,15.06743,,0.04355974000432279,,
1978,11.02,,,,0.6702499999999999,15.83777,,0.04231972051620903,,
1979,12.015,0.050333333333333334,,,0.90325,15.91271,,0.05676280155925672,,
1980,14.3,0.06,,,1.2451666666666668,19.16493,2.76,0.06497110433832354,,
1981,16.54,0.06933333333333333,,,1.3782499999999998,20.52057,,0.06716431366185246,,
1982,16.825,0.07608333333333334,,,1.2955,21.07205,,0.06147954280670367,,
1983,13.9175,0.07825,,,1.2411666666666668,20.95239,,0.0592374744201815,,
1984,13.71,0.08175,,,1.21225,21.00023,,0.05772555824388591,,
1985,12.91,0.08127272727272727,,,1.20175,21.31942,2.69,0.05636879427301494,,
1986,11.33,0.07658333333333334,,,0.9274166666666668,21.84433,,0.042455715815805144,,
1987,10.4525,0.079,,,0.9484166666666668,21.97197,,0.043164844420717254,,
1988,10.855,0.08,,,0.9461666666666666,21.86353,,0.04327602480782685,,
1989,12.067499999999999,0.08183333333333333,,,1.022166666666667,21.42049,,0.047719107577215404,,
1990,11.7825,0.08366666666666667,,,1.1643333333333332,21.15752,2.63,0.05503165462366729,,
1991,11.1375,0.08666666666666667,,,1.1400833333333331,21.25642,,0.05363477637971649,,
1992,9.29,0.08808333333333333,,,1.1264999999999998,20.79365,,0.054175192907450105,,
1993,8.0875,0.09158333333333334,,,1.1079166666666669,20.8794,,0.05306266782889675,,
1994,8.115,0.09200000000000001,,,1.1118333333333337,20.37752,,0.054561758905565236,,
1995,9.57,0.09358333333333334,8.4,,1.147166666666667,20.48563,2.65,0.05599860324855359,,
1996,9.0475,0.09416666666666666,8.5,,1.2309166666666669,20.43168,,0.060245494578354146,,
1997,9.0175,0.09433333333333334,8.6,,1.2336666666666667,20.15038,,0.06122299761427163,,
1998,8.725,0.08683333333333333,8.8,84.66666666666667,1.0593333333333332,20.09648,,0.05271238213524623,0.0735188888888889,0.716991006418934
1999,8.44,0.08633333333333333,8.8,74.85714285714286,1.1650833333333332,19.69506,,0.05915612002874493,0.06462666666666667,0.9153515581093191
2000,9.34,0.08725,8.9,51.25,1.51,19.76896,2.62,0.0763823691281686,0.044715625,1.7081807338747608
2001,8.5,0.09233333333333334,8.9,57.8,1.461,19.62363,,0.07445105722030022,0.05336866666666666,1.3950331134429734
2002,7.615,0.09108333333333334,9.6,65.0,1.3575,19.45354,,0.06978164385505158,0.05920416666666667,1.178661026477048
2003,6.9350000000000005,0.09283333333333332,9.7,43.0,1.59075,19.58451,,0.08122490682687492,0.03991833333333333,2.03477700706129
2004,6.6025,0.09433333333333334,9.8,,1.8801666666666668,19.2986,,0.097425029104011,,
2005,7.0725,0.09999999999999999,9.8,,2.295333333333333,19.88375,2.57,0.11543764799564131,,
2006,7.715,0.11233333333333333,9.9,,2.5889166666666665,20.1333,,0.12858878905428653,,
2007,7.7675,0.11666666666666665,10.0,,2.800583333333333,20.6039,,0.13592491389170658,,
2008,7.0225,0.12333333333333334,10.1,34.0,3.26625,20.96833,,0.1557706312329117,0.041933333333333336,3.7147209356020277
2009,6.7175,0.12716666666666668,10.3,,2.3501666666666665,22.40281,,0.10490499480496718,,
2010,6.205,0.12766666666666668,10.6,,2.7875,22.59206,2.59,0.12338405616840607,,
2011,5.7325,0.12975,10.9,36.25,3.526666666666667,22.28844,,0.15822851068386423,0.047034374999999996,3.364103608985221
2012,4.9125,0.12958333333333336,11.2,41.5,3.644083333333333,23.56593,,0.1546335465366032,0.05377708333333334,2.8754543190473605
2013,4.425,0.13216666666666668,11.4,35.285714285714285,3.526,24.17888,,0.14582974893791606,0.04663595238095239,3.126981255720588
2014,4.2375,0.13708333333333333,11.4,34.53333333333333,3.36725,24.11047,,0.1396592434738933,0.04733944444444444,2.9501665072937526
2015,4.1925,0.13808333333333334,11.5,33.01683333333333,2.44775,24.64986,2.54,0.09930076681977099,0.04559074402777777,2.178090508004618
2016,4.3,0.13516666666666668,11.6,34.108090322580644,2.14175,24.70826,,0.08668153888618624,0.04610276875268817,1.8801807620530815
2017,4.6049999999999995,0.13775,11.7,33.04625333333333,2.4075,24.86173,,0.09683557821599705,0.04552121396666667,2.127262649166294
2018,5.0325,0.13625,11.7,31.81244583333333,2.735333333333333,25.10552,,0.10895346255856614,0.04334445744791667,2.5136653905400985
2019,5.3925,0.13633333333333333,11.8,32.017251428571434,2.63625,24.90835,,0.10583800211575636,0.04365018611428572,2.4246861591528925
2020,5.0875,0.13533333333333333,11.9,32.89649736842105,2.1744166666666667,25.38322,2.53,0.08566354728307388,0.04451992643859649,1.9241619233406457
2021,5.0525,0.14075000000000001,12.1,35.51684705882353,3.0505,25.42452,,0.11998259947483766,0.049989962235294116,2.4001338290695298
2022,5.62,0.1585,12.2,36.5021393258427,4.093666666666667,25.9916,,0.15749960243565872,0.05785589083146068,2.7222742606188364
2023,7.965,0.1681666666666667,12.5,37.133353472222225,3.657916666666667,27.10121,,0.1349724483396375,0.062445922755787045,2.1614293196929215
2024,8.4925,0.17566666666666664,12.6,39.02207593984962,3.44875,27.24521,2.51,0.12658188356779046,0.06854878006766915,1.8465957153844736
2025,7.6175,0.18518181818181817,12.8,38.75179018404908,3.256833333333333,28.11363,,0.11584535093238876,0.07176126964082542,1.6143157933549666
2026,,0.19371428571428573,,37.20288504672897,3.867428571428571,,,,0.07206730303337784,
