year_range,start_year,end_year,make,body_style,vehicle_size,vehicle,collision,property_damage,comprehensive,personal_injury,medical_payment,bodily_injury,automation_score,k_make,k_model,cat_comb08_mpg,cat_displacement_l,cat_cylinders,cat_is_ev,cat_matched
2022-2024,2024,2022,Mini,Two-Door Cars,Mini,Mini Cooper,-0.3,-0.35,-0.33,-0.35,-0.49,-0.37,2,mini,cooper,30.53053435114504,1.685214007782101,3.7782101167315174,1.0,True
2022-2024,2024,2022,Mini,Two-Door Cars,Mini,Mini Cooper convertible,-0.35,-0.43,-0.11,-0.48,,,2,mini,cooper,30.53053435114504,1.685214007782101,3.7782101167315174,1.0,True
2022-2024,2024,2022,Mini,Two-Door Cars,Mini,Mini Cooper electric 2dr,-0.39,-0.36,-0.47,-0.46,,,2,mini,cooper,30.53053435114504,1.685214007782101,3.7782101167315174,1.0,True
2022-2024,2024,2022,Subaru,Two-Door Cars,Small,Subaru BRZ with Eyesight,0.21,-0.07,,,,,2,subaru,brz,24.724137931034484,2.1655172413793107,4.0,0.0,True
2022-2024,2024,2022,Toyota,Two-Door Cars,Small,Toyota GR86 2dr w/Active Safety,0.91,0.02,0.16,0.6,0.23,0.12,2,toyota,gr86,,,,,False
2022-2024,2024,2022,Mitsubishi,Four-Door Cars,Micro,Mitsubishi Mirage,0.16,0.28,0.08,0.87,1.47,1.0,1,mitsubishi,mirage,29.08438818565401,1.5046413502109701,3.7763713080168775,0.0,True
2022-2024,2024,2022,Mini,Four-Door Cars,Mini,Mini Cooper,-0.25,-0.23,-0.09,-0.33,,-0.27,2,mini,cooper,30.53053435114504,1.685214007782101,3.7782101167315174,1.0,True
2022-2024,2024,2022,Mitsubishi,Four-Door Cars,Mini,Mitsubishi Mirage G4,0.45,0.7,0.03,1.82,1.97,1.32,1,mitsubishi,mirage g4,36.06666666666667,1.1999999999999997,3.0,0.0,True
2022-2024,2024,2022,Acura,Four-Door Cars,Small,Acura Integra 4dr,0.2,-0.06,0.0,0.47,0.41,0.01,2,acura,integra,25.20754716981132,1.732075471698113,4.0,0.0,True
2022-2024,2024,2022,Acura,Four-Door Cars,Small,Acura Integra Type S 4dr,0.14,,0.3,,,,2,acura,integra type s,25.20754716981132,1.732075471698113,4.0,0.0,True
2022-2024,2024,2022,Honda,Four-Door Cars,Small,Honda Civic,0.21,0.25,-0.12,0.59,0.47,0.39,2,honda,civic,30.858657243816253,1.6415194346289752,4.0,0.0,True
2022-2024,2024,2022,Honda,Four-Door Cars,Small,Honda Civic hatchback,0.13,0.14,-0.13,0.34,0.32,0.23,2,honda,civic hatchback,30.858657243816253,1.6415194346289752,4.0,0.0,True
2022-2024,2024,2022,Honda,Four-Door Cars,Small,Honda Civic Si,0.18,-0.13,0.06,0.32,0.23,0.18,2,honda,civic si,30.858657243816253,1.6415194346289752,4.0,0.0,True
2022-2024,2024,2022,Honda,Four-Door Cars,Small,Honda Civic Type-R 4dr,0.18,-0.54,-0.03,,,,2,honda,civic type r,30.858657243816253,1.6415194346289752,4.0,0.0,True
