mfr_code,carline_code,mt_index,fe,wt,hp,fp,hy,name,mfr,powertrain,hp_source,hybrid,bev
ASX,572,3,22.4729,4500,680.0,50.0,N,DB12 V8,Aston Martin Lagonda,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
ASX,690,5,18.3624,4000,715.0,48.2,N,Valour,Aston Martin Lagonda,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
ASX,800,1,20.6665,5500,550.0,55.4,N,DBX V8,Aston Martin Lagonda,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
ASX,884,2,21.5837,5500,707.0,55.4,N,DBX 707,Aston Martin Lagonda,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
BMX,234,370,31.5873,4500,248.0,49.6,N,X3 xDrive30i,BMW,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
BMX,244,470,31.5873,4500,248.0,50.7,N,X4 xDrive30i,BMW,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
BMX,245,371,33.2063,4500,248.0,50.2,N,X3 sDrive30i,BMW,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
BMX,249,850,25.0424,4500,523.0,49.7,N,M850i xDrive Coupe,BMW,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
BMX,259,852,24.9997,5000,523.0,49.7,N,M850i xDrive Convertible,BMW,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
BMX,262,350,37.762,3500,255.0,42.9,N,Z4 sDrive30i,BMW,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
BMX,264,397,21.7837,5000,473.0,49.7,N,X3 M,BMW,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
BMX,265,398,21.7837,5000,503.0,49.7,N,X3 M Competition,BMW,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
BMX,266,497,21.7837,5000,473.0,50.2,N,X4 M,BMW,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
BMX,267,498,21.7837,5000,503.0,50.2,N,X4 M Competition,BMW,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
BMX,271,352,34.5503,4000,382.0,42.3,N,Z4 M40i,BMW,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
BMX,273,862,22.0036,4500,617.0,49.5,N,M8 Competition Convertible,BMW,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
BMX,275,860,22.0036,4500,617.0,49.5,N,M8 Competition Coupe,BMW,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
BMX,277,854,24.9997,5000,523.0,53.7,N,M850i xDrive Gran Coupe,BMW,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
BMX,278,810,31.2631,4500,335.0,53.7,N,840i xDrive Gran Coupe,BMW,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
BMX,279,808,31.2831,4500,335.0,53.7,N,840i Gran Coupe,BMW,gas_diesel,FE file ENG_RATED_HP,0.0,0.0
