year,mpg_norm,proj_recent,proj_full
1975.0,9.429,,
1976.0,10.2,,
1977.0,10.762,,
1978.0,10.799,,
1979.0,10.575,,
1980.0,11.274,,
1981.0,11.945,,
1982.0,12.314,,
1983.0,12.537,,
1984.0,12.664,,
1985.0,13.181,,
1986.0,13.477,,
1987.0,13.719,,
1988.0,14.056,,
1989.0,14.141,,
1990.0,14.404,,
1991.0,14.582,,
1992.0,14.759,,
1993.0,14.907,,
1994.0,14.913,,
1995.0,15.282,,
1996.0,15.568,,
1997.0,15.679,,
1998.0,15.758,,
1999.0,15.879,,
2000.0,16.01,,
2001.0,16.216,,
2002.0,16.518,,
2003.0,16.818,,
2004.0,17.19,,
2005.0,17.586,,
2006.0,17.983,,
2007.0,18.599,,
2008.0,18.982,,
2009.0,19.533,,
2010.0,20.101,,
2011.0,20.742,,
2012.0,21.313,,
2013.0,22.101,,
2014.0,22.34,,
2015.0,22.732,,
2016.0,22.85,,
2017.0,23.275,,
2018.0,23.925,,
2019.0,23.969,,
2020.0,24.481,,
2021.0,25.14,,
2022.0,25.987,,
2023.0,27.616,,
2024.0,27.245,,
2025.0,,28.031,27.079
2026.0,,28.668,27.605
2027.0,,29.32,28.141
2028.0,,29.987,28.688
2029.0,,30.669,29.245
2030.0,,31.366,29.813
2031.0,,32.08,30.391
2032.0,,32.809,30.982
2033.0,,33.555,31.583
2034.0,,34.318,32.197
2035.0,,35.098,32.822
2036.0,,35.897,33.459
2037.0,,36.713,34.109
2038.0,,37.548,34.771
2039.0,,38.401,35.446
2040.0,,39.275,36.135
2041.0,,40.168,36.836
2042.0,,41.081,37.552
2043.0,,42.015,38.281
2044.0,,42.971,39.024
2045.0,,43.948,39.782
